Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Hrafn\Project Outputs for Hrafn\Generate Files\Pick Place\Pick Place for Hrafn(PopulatedComponents).txt

========================================================================================================================
File Design Information:

Date:       24/06/21
Time:       13:50
Revision:   2594
Variant:    PopulatedComponents
Units used: mil

Designator Comment                  Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
R49        RC0402FR-0720KL          TopLayer RESC1005X40X25LL05T10     2868.000      2488.000      180      ""                                                                                                                                           
R48        RC0402FR-0720KL          TopLayer RESC1005X40X25LL05T10     2801.000      2490.000      180      ""                                                                                                                                           
R47        RC0402FR-0720KL          TopLayer RESC1005X40X25LL05T10     2727.000      2490.000      0        ""                                                                                                                                           
R45        22kO                     TopLayer RESC1005X40X25LL05T05     2521.142      1627.047      90       ""                                                                                                                                           
R44        22kO                     TopLayer RESC1005X40X25LL05T05     3037.890      1623.110      270      ""                                                                                                                                           
R43        22kO                     TopLayer RESC1005X40X25LL05T05     1875.472      1635.921      180      ""                                                                                                                                           
R42        22kO                     TopLayer RESC1005X40X25LL05T05     1808.543      1634.921      180      ""                                                                                                                                           
R41        22kO                     TopLayer RESC1005X40X25LL05T05     3283.000      1625.000      90       ""                                                                                                                                           
R40        22kO                     TopLayer RESC1005X40X25LL05T05     2210.118      1623.110      270      ""                                                                                                                                           
R39        22kO                     TopLayer RESC1005X40X25LL05T05     2899.905      1623.110      90       ""                                                                                                                                           
R38        22kO                     TopLayer RESC1005X40X25LL05T05     2033.465      1620.079      270      ""                                                                                                                                           
R37        22kO                     TopLayer RESC1005X40X25LL05T05     2740.000      1626.000      270      ""                                                                                                                                           
R36        22kO                     TopLayer RESC1005X40X25LL05T05     3112.000      1625.748      270      ""                                                                                                                                           
R35        22kO                     TopLayer RESC1005X40X25LL05T05     2653.063      1627.047      270      ""                                                                                                                                           
R34        22kO                     TopLayer RESC1005X40X25LL05T05     3418.000      1625.000      90       ""                                                                                                                                           
R33        22kO                     TopLayer RESC1005X40X25LL05T05     3180.000      1626.000      270      ""                                                                                                                                           
R32        22kO                     TopLayer RESC1005X40X25LL05T05     3351.000      1625.000      270      ""                                                                                                                                           
R31        22kO                     TopLayer RESC1005X40X25LL05T05     2586.134      1627.047      90       ""                                                                                                                                           
R30        22kO                     TopLayer RESC1005X40X25LL05T05     2455.213      1627.047      270      ""                                                                                                                                           
R29        22kO                     TopLayer RESC1005X40X25LL05T05     2387.283      1627.047      270      ""                                                                                                                                           
R28        "220 O"                  TopLayer RESC1005X40X25LL05T05     3385.000      1625.252      90       ""                                                                                                                                           
R27        "220 O"                  TopLayer RESC1005X40X25LL05T05     3317.000      1625.000      90       ""                                                                                                                                           
R26        "220 O"                  TopLayer RESC1005X40X25LL05T05     3249.000      1625.000      270      ""                                                                                                                                           
R25        "220 O"                  TopLayer RESC1005X40X25LL05T05     3215.000      1625.000      90       ""                                                                                                                                           
R24        "220 O"                  TopLayer RESC1005X40X25LL05T05     3145.000      1626.000      270      ""                                                                                                                                           
R23        "220 O"                  TopLayer RESC1005X40X25LL05T05     3075.260      1623.110      270      ""                                                                                                                                           
R22        "220 O"                  TopLayer RESC1005X40X25LL05T05     3005.394      1623.110      90       ""                                                                                                                                           
R21        "220 O"                  TopLayer RESC1005X40X25LL05T05     2969.961      1623.110      270      ""                                                                                                                                           
R20        "220 O"                  TopLayer RESC1005X40X25LL05T05     2864.472      1623.110      270      ""                                                                                                                                           
R19        "220 O"                  TopLayer RESC1005X40X25LL05T05     2810.000      1624.000      90       ""                                                                                                                                           
R18        "220 O"                  TopLayer RESC1005X40X25LL05T05     2774.000      1624.000      270      ""                                                                                                                                           
R17        "220 O"                  TopLayer RESC1005X40X25LL05T05     2705.000      1626.000      90       ""                                                                                                                                           
R16        "220 O"                  TopLayer RESC1005X40X25LL05T05     2620.567      1627.047      90       ""                                                                                                                                           
R15        "220 O"                  TopLayer RESC1005X40X25LL05T05     2553.637      1627.047      270      ""                                                                                                                                           
R14        "220 O"                  TopLayer RESC1005X40X25LL05T05     2488.646      1627.047      90       ""                                                                                                                                           
R13        "220 O"                  TopLayer RESC1005X40X25LL05T05     2422.716      1627.047      270      ""                                                                                                                                           
R12        "220 O"                  TopLayer RESC1005X40X25LL05T05     2354.787      1627.047      270      ""                                                                                                                                           
R11        "220 O"                  TopLayer RESC1005X40X25LL05T05     2312.480      1627.047      90       ""                                                                                                                                           
R10        "220 O"                  TopLayer RESC1005X40X25LL05T05     2253.425      1627.047      90       ""                                                                                                                                           
R9         "220 O"                  TopLayer RESC1005X40X25LL05T05     2174.686      1623.110      270      ""                                                                                                                                           
R8         "220 O"                  TopLayer RESC1005X40X25LL05T05     2135.314      1623.110      270      ""                                                                                                                                           
R7         "220 O"                  TopLayer RESC1005X40X25LL05T05     2099.882      1623.110      90       ""                                                                                                                                           
R6         "220 O"                  TopLayer RESC1005X40X25LL05T05     2067.402      1625.047      270      ""                                                                                                                                           
R5         "220 O"                  TopLayer RESC1005X40X25LL05T05     1993.583      1623.110      90       ""                                                                                                                                           
R4         "220 O"                  TopLayer RESC1005X40X25LL05T05     1946.339      1608.346      0        ""                                                                                                                                           
R3         "220 O"                  TopLayer RESC1005X40X25LL05T05     1946.338      1643.779      180      ""                                                                                                                                           
R2         "220 O"                  TopLayer RESC1005X40X25LL05T05     1875.472      1603.425      180      ""                                                                                                                                           
R1         "220 O"                  TopLayer RESC1005X40X25LL05T05     1808.149      1599.488      180      ""                                                                                                                                           
Q3A        NTGD4167CT1G             TopLayer ONSC-TSOP-6-318G-02_V     1678.215      2611.991      90       "Power MOSFET, Complementary, 30 V, +2.9 / -2.2 A, 6-Pin TSOP, Pb-Free, Tape and Reel"                                                       
Q3B        NTGD4167CT1G             TopLayer ONSC-TSOP-6-318G-02_V     3082.864      2608.955      90       "Power MOSFET, Complementary, 30 V, +2.9 / -2.2 A, 6-Pin TSOP, Pb-Free, Tape and Reel"                                                       
Q2A        NTGD4167CT1G             TopLayer ONSC-TSOP-6-318G-02_V     1856.349      2613.046      90       "Power MOSFET, Complementary, 30 V, +2.9 / -2.2 A, 6-Pin TSOP, Pb-Free, Tape and Reel"                                                       
Q2B        NTGD4167CT1G             TopLayer ONSC-TSOP-6-318G-02_V     3262.000      2610.000      90       "Power MOSFET, Complementary, 30 V, +2.9 / -2.2 A, 6-Pin TSOP, Pb-Free, Tape and Reel"                                                       
Q1         MMBT2222ALT3G            TopLayer ONSC-SOT-23-3-318-08_V    985.221       1792.071      0        "General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"                                                              
P5         53398-1071               TopLayer MOLX-53398-1071_V         2550.457      1998.866      180      "Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel"                                            
P4A        53398-1071               TopLayer MOLX-53398-1071_V         1626.244      2931.134      0        "Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel"                                            
P4B        53398-1071               TopLayer MOLX-53398-1071_V         3053.284      2934.922      0        "Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel"                                            
P3         53398-1071               TopLayer MOLX-53398-1071_V         879.134       2299.850      90       "Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel"                                            
P2         53398-1071               TopLayer MOLX-53398-1071_V         3026.062      1781.575      180      "Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel"                                            
P1         53398-1071               TopLayer MOLX-53398-1071_V         2289.842      1781.575      180      "Male Header, Pitch 1.25 mm, 1 x 10 Position, Height 4.7 mm, -40 to 85 degC, RoHS, Tape and Reel"                                            
L2         74404300047              TopLayer WE-TPC-4828-MH            1600.394      2386.023      0        "SMD Shielded Tiny Power Inductor WE-TPC, L = 0.47 µH"                                                                                       
J6         Gecko_12                 TopLayer GECK12                    2845.803      694.024       270      ""                                                                                                                                           
J5         Gecko_10                 TopLayer GECK10-dup                3496.394      694.023       270      "Headers & Wire Housings 1.25MM M VERT 3.0MM 2x5 POS"                                                                                        
J4         Gecko_6_F                TopLayer GECK6_F                   1866.473      694.023       90       "Gecko DIL Female Vertical 3mm PC Tail Connector, gold, pick & place (cut tape packing), 3+3 contacts"                                       
J2         Gecko_16                 TopLayer GECK16                    1215.882      694.024       270      "Headers & Wire Housings 1.25MM M VERT 3.0MM 2X8 POS"                                                                                        
J1         PiZero                   TopLayer DIP40                     2308.709      1391.158      90       ""                                                                                                                                           
FL1        BNX028-01L               TopLayer FIL_BNX028-01L_-_small    1511.000      1836.000      0        "FILTER LC 47UF SMD"                                                                                                                         
FB7        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  3032.000      1909.000      0        "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
FB6        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  3357.000      2318.000      180      "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
FB5        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  3329.000      2420.000      90       "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
FB4        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  3352.000      2032.000      180      "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
FB3        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  2059.055      2629.921      270      "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
FB2        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  2516.732      2880.905      270      "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
FB1        BLM18PG121SH1D           TopLayer FP-BLM18-0_15-t0_8-IPC_C  1875.644      1747.713      270      "Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A"                                                                                     
D10        ESD9R3.3ST5G             TopLayer ONSC-SOD-923-2-514AB-01_V 2678.000      2116.000      270      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                           
D9         ESD9R3.3ST5G             TopLayer ONSC-SOD-923-2-514AB-01_V 2514.000      2159.000      180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                           
D8         ESD9R3.3ST5G             TopLayer ONSC-SOD-923-2-514AB-01_V 2437.000      2115.000      270      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                           
D7         ESD9R3.3ST5G             TopLayer ONSC-SOD-923-2-514AB-01_V 2293.000      2134.000      180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                           
D6         "Vz=3.9V nom"            TopLayer ONSC-SMA-2-403D-02_F_V    2272.638      2428.150      0        "1.5 W Zener Voltage Regulator, 2-Pin SMA, Pb-Free, Tape and Reel"                                                                           
D5         STPS3L60U                TopLayer FP-SMB-MFG                1256.890      2369.095      90       "DIODE SCHOTTKY 60V 3A SMB"                                                                                                                  
D4         1N914BWT                 TopLayer FP-502-01-MFG             1030.000      1986.000      270      "DIODE GEN PURP 75V 200MA SOD523F"                                                                                                           
D3         "Vz=5.6V nom"            TopLayer ONSC-SMA-2-403D-02_F_V    1400.842      2397.315      90       "1.5 W Zener Voltage Regulator, 2-Pin SMA, Pb-Free, Tape and Reel"                                                                           
D2         STPS3L60U                TopLayer FP-SMB-MFG                1004.921      1333.661      270      "DIODE SCHOTTKY 60V 3A SMB"                                                                                                                  
D1         "Vz=5.6V nom"            TopLayer ONSC-SMA-2-403D-02_F_V    1004.000      1602.000      90       "1.5 W Zener Voltage Regulator, 2-Pin SMA, Pb-Free, Tape and Reel"                                                                           
C97        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2159.874      3907.575      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C101H      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3242.571      3092.710      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101G      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3002.592      3109.050      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101F      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2902.104      3109.050      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101E      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2801.615      3109.050      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101D      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1760.558      3076.428      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101C      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1522.980      3117.342      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101B      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1428.491      3118.342      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C101A      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1331.066      3117.342      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100H      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3242.571      3128.143      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100G      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3038.025      3109.050      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100F      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2937.537      3109.050      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100E      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2837.049      3109.050      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100D      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1760.558      3111.861      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100C      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1558.413      3117.342      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100B      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1463.924      3118.342      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C100A      "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1366.500      3117.342      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C99H       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     3167.769      3108.458      270      ""                                                                                                                                           
C99G       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     3018.340      3185.854      180      ""                                                                                                                                           
C99F       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2917.852      3185.854      180      ""                                                                                                                                           
C99E       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2817.363      3185.854      180      ""                                                                                                                                           
C99D       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     1685.755      3092.176      270      ""                                                                                                                                           
C99C       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     1538.728      3194.145      180      ""                                                                                                                                           
C99B       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     1444.239      3195.146      180      ""                                                                                                                                           
C99A       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     1346.814      3194.145      180      ""                                                                                                                                           
C96        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       2262.000      3930.000      90       "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C20        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1903.000      2208.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C10        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1966.835      2565.858      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C94        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2377.000      3553.000      225      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C93        "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2132.417      3386.000      315      ""                                                                                                                                           
C92        "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2309.000      3535.000      225      ""                                                                                                                                           
C91        "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2492.654      3062.181      45       ""                                                                                                                                           
C90        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2527.559      3780.512      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C89        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2109.000      3000.000      180      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C88        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       2421.260      3856.299      90       "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C79        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3225.766      1963.843      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C78        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    3226.260      2008.937      180      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C77        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       3234.000      2155.000      90       "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C87        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2150.499      3145.120      315      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C86        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2469.707      3458.175      315      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C85        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2134.000      3591.000      0        "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C84        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2250.000      3513.000      315      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C83        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2154.000      3418.000      315      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C82        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2108.795      3330.881      225      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C81        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2555.220      3083.740      135      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C80        GRM1555C1H180JA01D       TopLayer CAPC1005X55X25LL05T10     3239.291      2286.339      0        ""                                                                                                                                           
C76        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2906.968      2379.016      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C75        GRM1555C1H180JA01D       TopLayer CAPC1005X55X25LL05T10     3243.228      2487.126      180      ""                                                                                                                                           
C74        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3133.000      1932.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C70        2.2nF                    TopLayer FP-CGA6P-MFG              3671.000      1467.000      270      "Cap Ceramic 2.2nF 2000V X7S 20% Pad SMD 1210 +125°C Automotive T/R"                                                                         
C60        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2217.599      2119.173      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C59        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2413.000      2311.000      0        "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C58        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       2254.000      2269.000      270      "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C69        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3441.000      1770.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C63        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3441.000      1831.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C22        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    994.095       2420.276      90       "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C21        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       1090.000      2377.000      90       "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C104       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    1811.024      2348.276      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C103       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    1760.000      2348.000      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C102       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1755.906      2441.141      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C53A       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    1664.000      3528.000      180      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C53B       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    3370.323      3144.032      270      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C42A       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    1972.000      3933.000      0        "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C42B       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    2692.163      3729.912      0        "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C37        GRT32EC81C476ME13L       TopLayer FP-GRT32E-0_3-IPC_C       1952.756      2439.961      180      "Multi-Layer Ceramic Capacitor 47uF 16V X6S ±20% 1210 Emboss T/R"                                                                            
C57        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2694.000      2302.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C56        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2511.000      2233.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C55        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2876.000      2272.000      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C54        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2326.771      2328.740      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C52A       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1978.207      3566.943      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C52B       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3350.000      3482.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C51A       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1417.152      3510.132      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C51B       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2780.639      3531.803      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C50A       C0402C471F5GACTU         TopLayer FP-C0402-BB-MFG           1675.450      3439.360      90       "CAP CER 470PF 50V NP0 0402"                                                                                                                 
C50B       C0402C471F5GACTU         TopLayer FP-C0402-BB-MFG           3068.228      3501.037      0        "CAP CER 470PF 50V NP0 0402"                                                                                                                 
C49A       C0402C471F5GACTU         TopLayer FP-C0402-BB-MFG           1882.000      3549.000      0        "CAP CER 470PF 50V NP0 0402"                                                                                                                 
C49B       C0402C471F5GACTU         TopLayer FP-C0402-BB-MFG           3250.867      3488.787      0        "CAP CER 470PF 50V NP0 0402"                                                                                                                 
C48A       C0402C471F5GACTU         TopLayer FP-C0402-BB-MFG           1341.230      3503.172      0        "CAP CER 470PF 50V NP0 0402"                                                                                                                 
C48B       C0402C471F5GACTU         TopLayer FP-C0402-BB-MFG           2725.521      3527.866      0        "CAP CER 470PF 50V NP0 0402"                                                                                                                 
C47A       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        1527.252      2635.000      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C47B       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2918.000      2635.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C46A       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     1343.000      3607.000      180      ""                                                                                                                                           
C46B       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     3273.000      3931.000      0        ""                                                                                                                                           
C45A       GRM188R6YA475KE15D       TopLayer FP-GRM188-0_2-IPC_C       1767.000      2628.000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 35V"                                                    
C45B       GRM188R6YA475KE15D       TopLayer FP-GRM188-0_2-IPC_C       3172.000      2635.000      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 35V"                                                    
C44A       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2054.383      3767.316      90       ""                                                                                                                                           
C44B       "1 uF"                   TopLayer CAPC1005X60X30NL05T10     2626.000      3918.000      0        ""                                                                                                                                           
